index,iDontKnow,category,num
340,9B29B6,"floor",12
341,5271FD,"ceiling",12
342,260511,"door",12
343,F7C1B7,"curtain rail",12
344,143AA5,"curtain",12
345,B48AB2,"ceiling lamp",12
346,FCF547,"shower door",12
347,FB66B9,"shelf",5
348,59981F,"towel",12
349,765B63,"mirror",12
350,9F2E85,"lamp",2
351,09DE57,"device",2
352,7DCF93,"device",2
353,803EF8,"device",6
354,B473EF,"lamp",6
355,862A3B,"wall",13
356,133B6B,"wall",13
357,4D3385,"wall",13
358,86FE9C,"wall",13
359,5AE46A,"door frame",13
360,4A7240,"door",13
361,D13ECB,"floor",13
362,90E611,"toilet paper",13
363,E8C8ED,"towel",13
364,D6233C,"box of tissue",13
365,69AFE9,"cup",13
366,D9F2C0,"hand soap",13
367,5249B1,"mirror",13
368,097018,"ceiling",13
369,1F9761,"bathtub",13
370,06432F,"device",13
371,93180E,"toilet",13
372,F9135F,"sink cabinet",13
373,C280E6,"bath faucet",13
374,7169B0,"paper towel",8
375,33AD11,"lamp",8
376,D78FEC,"unknown",8
377,2FC035,"unknown",1
378,F87511,"pillow",11
379,824986,"pillow",11
380,6D2C99,"pillow",11
381,5E7205,"pillow",11
382,137C10,"sink",13
383,D81E20,"faucet",13
384,7BC8E6,"pillow",3
